idx_simulacao;dados;mec_ausencia;pct_ausencia;cluster_algorithm;dim_x_som;dim_y_som;sigma_som;lr_som;max_iter_som;n_clusters_kmd;n_clusters_aggcl;affinity_aggcl;metric_dbscan;min_samples_dbscan;eps_dbscan;order_cluster;order_column;n_clusters_knn
6110092;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;5
6110093;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;5
6110094;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;5
6110095;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;5
6110096;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;5
6110097;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;5
6110098;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;5
6110099;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;5
6110100;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;5
6110101;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;noSort;lessCorrelation;5
6110102;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;noSort;lessMissing;5
6110103;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;noSort;moreCorrelation;5
6110104;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;noSort;moreMissing;5
6110105;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;noSort;noSort;5
6110106;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;random;lessCorrelation;5
6110107;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;random;lessMissing;5
6110108;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;random;moreCorrelation;5
6110109;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;random;moreMissing;5
6110110;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;random;noSort;5
6110111;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleLessMissing;lessCorrelation;5
6110112;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleLessMissing;lessMissing;5
6110113;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleLessMissing;moreCorrelation;5
6110114;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleLessMissing;moreMissing;5
6110115;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleLessMissing;noSort;5
6110116;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleMoreMissing;lessCorrelation;5
6110117;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleMoreMissing;lessMissing;5
6110118;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleMoreMissing;moreCorrelation;5
6110119;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleMoreMissing;moreMissing;5
6110120;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;tupleMoreMissing;noSort;5
