idx_simulacao;avg_rmse_media;avg_sim_error_media;correl_bias_media;avg_rmse_mediana;avg_sim_error_mediana;correl_bias_mediana;time_g1;avg_rmse_cascata;avg_sim_error_cascata;correl_bias_cascata;time_g2
130041;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130042;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130043;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130044;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130045;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130046;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130047;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130048;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130049;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130050;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130051;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130052;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130053;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130054;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130055;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130056;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130057;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130058;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130059;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130060;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130061;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130062;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
